时间,开盘,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
"2015-12-30,三",3762.91,3763.89,3756.43,3759.23,--,-0.07,0.198,547864600,8139483400
"2015-12-30,三",3759.09,3760.31,3751.72,3752.35,-6.88,-0.18,0.228,295514000,4746189600
"2015-12-30,三",3752.55,3758.67,3752.55,3757.64,5.29,0.14,0.163,277282200,4288907000
"2015-12-30,三",3757.94,3757.94,3754.93,3756.38,-1.26,-0.03,0.08,265705400,4067801000
"2015-12-30,三",3756.22,3761.81,3756.22,3761.53,5.15,0.14,0.149,286031800,4162380000
"2015-12-30,三",3760.03,3761.65,3758.5,3759.75,-1.78,-0.05,0.084,232493300,3380022000
"2015-12-30,三",3758.92,3759.56,3752.87,3752.87,-6.88,-0.18,0.178,243276600,3380821000
"2015-12-30,三",3752.75,3752.75,3749.08,3752.01,-0.86,-0.02,0.098,223869700,3242166000
"2015-12-30,三",3752.04,3753.58,3750.26,3750.26,-1.75,-0.05,0.088,222791700,3015458000
"2015-12-30,三",3750.06,3750.19,3746.32,3749.18,-1.08,-0.03,0.103,254851100,3354142000
"2015-12-30,三",3749.48,3753.36,3749.23,3753.36,4.18,0.11,0.11,194145900,2672491000
"2015-12-30,三",3752.93,3756.37,3752.93,3755.14,1.77,0.05,0.092,180449900,2713791000
"2015-12-30,三",3755.23,3760.77,3754.99,3760.77,5.63,0.15,0.154,204379200,2717507000
"2015-12-30,三",3761.25,3763.58,3760.61,3760.61,-0.16,0,0.079,223838300,2956371000
"2015-12-30,三",3760.71,3760.71,3758.43,3758.43,-2.18,-0.06,0.061,194569200,3179098000
"2015-12-30,三",3758.37,3758.47,3753.82,3753.85,-4.58,-0.12,0.124,179857700,2792158000
"2015-12-30,三",3753.95,3760.16,3753.56,3760.16,6.32,0.17,0.176,178619700,2879034000
"2015-12-30,三",3759.69,3760.73,3759.26,3760.11,-0.06,0,0.039,174785500,2716559000
"2015-12-30,三",3760.2,3760.2,3755.29,3755.76,-4.35,-0.12,0.131,155270600,2526776000
"2015-12-30,三",3755.99,3756.25,3751.28,3751.28,-4.49,-0.12,0.132,172464900,2315557000
"2015-12-30,三",3751.17,3751.65,3749.43,3751.65,0.38,0.01,0.059,150126700,2255898000
"2015-12-30,三",3751.36,3751.52,3747.84,3747.84,-3.82,-0.1,0.098,145857800,2046969000
"2015-12-30,三",3748.05,3751.37,3748.05,3751.36,3.52,0.09,0.088,116225500,1803533000
"2015-12-30,三",3751.03,3752.19,3750.32,3751.59,0.24,0.01,0.05,95304200,1593345000
"2015-12-30,三",3751.15,3751.15,3746.18,3746.72,-4.88,-0.13,0.132,212576100,3265056000
"2015-12-30,三",3746.76,3748.3,3746.19,3746.19,-0.53,-0.01,0.056,136748400,2240590000
"2015-12-30,三",3746.25,3746.25,3737.33,3737.43,-8.76,-0.23,0.238,232272300,3380256000
"2015-12-30,三",3737.12,3738.48,3735.28,3738,0.57,0.02,0.085,221729800,3214010000
"2015-12-30,三",3738.23,3739.51,3735.53,3735.66,-2.34,-0.06,0.106,160606400,2411684000
"2015-12-30,三",3735.78,3735.83,3727.06,3727.06,-8.6,-0.23,0.235,263116900,3865010000
"2015-12-30,三",3726.69,3733.76,3726.35,3733.39,6.33,0.17,0.199,213481400,3000703000
"2015-12-30,三",3733.39,3736.2,3732.2,3736.2,2.81,0.08,0.107,143157000,2146343000
"2015-12-30,三",3736.15,3741.49,3736.15,3740.79,4.59,0.12,0.143,193085800,2821309000
"2015-12-30,三",3741.46,3742.45,3739.16,3739.76,-1.03,-0.03,0.088,160596700,2549323000
"2015-12-30,三",3739.7,3747.49,3738.88,3747.49,7.73,0.21,0.23,170785600,2514986000
