时间,开盘,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
"2015-12-30,三",3762.91,3763.89,3751.72,3759.75,--,-0.06,0.323,1904891300,28784783000
"2015-12-30,三",3758.92,3759.56,3746.32,3755.14,-4.61,-0.12,0.352,1319384900,18378869000
"2015-12-30,三",3755.23,3763.58,3753.56,3760.11,4.97,0.13,0.267,1156049600,17240727000
"2015-12-30,三",3760.2,3760.2,3747.84,3751.59,-8.51,-0.23,0.329,835249700,12542078000
"2015-12-30,三",3751.15,3751.15,3727.06,3727.06,-24.54,-0.65,0.642,1227049900,18376606000
"2015-12-30,三",3726.69,3752.02,3726.35,3748.34,21.28,0.57,0.689,1083162600,15988109000
"2015-12-30,三",3748.26,3758.57,3745.58,3757.04,8.71,0.23,0.346,1110829300,16640548000
"2015-12-30,三",3757.05,3765.18,3748.71,3765.18,8.13,0.22,0.438,1926378200,27792370000
"2015-12-31,四",3760.9,3772.49,3757.32,3760.51,-4.67,-0.12,0.403,1808353200,26505877000
"2015-12-31,四",3760.41,3767.19,3755.77,3761.87,1.36,0.04,0.304,1146497900,16091968000
"2015-12-31,四",3761.86,3766.44,3755.6,3763.55,1.68,0.04,0.288,944186900,14038019000
"2015-12-31,四",3763.31,3763.75,3738.89,3739.1,-24.45,-0.65,0.661,1048428000,15662269000
"2015-12-31,四",3739.04,3744.39,3727.46,3739.64,0.55,0.01,0.453,1060613300,14755405000
"2015-12-31,四",3738.97,3755.4,3736.93,3755.37,15.73,0.42,0.494,860927500,12116523000
"2015-12-31,四",3755.13,3756.55,3745.2,3756.44,1.07,0.03,0.302,1035959700,14538368000
"2015-12-31,四",3756.35,3761.42,3730.08,3731,-25.43,-0.68,0.834,2282389100,31335261000
"2016-01-04,一",3725.86,3726.08,3670.78,3675.01,-55.99,-1.5,1.48,2710909500,37587184000
"2016-01-04,一",3675.18,3675.18,3578.01,3606.38,-68.64,-1.87,2.64,3442787300,43099659000
"2016-01-04,一",3605.89,3619.8,3598.44,3609.32,2.94,0.08,0.592,1348524800,17487671000
"2016-01-04,一",3609.8,3609.8,3579.04,3581.41,-27.91,-0.77,0.852,1437734600,17211292000
"2016-01-04,一",3581.38,3581.38,3509.79,3509.79,-71.62,-2,2,1726247000,21016924000
"2016-01-04,一",3508.79,3508.79,3469.01,3470.41,-39.38,-1.12,1.13,870864200,9565470000
"2016-01-04,一",3470.41,3470.41,3470.41,3470.41,0,0,0,0,0
"2016-01-04,一",3470.41,3470.41,3468.95,3469.07,-1.35,-0.04,0.042,0,0
"2016-01-05,二",3382.18,3518.03,3377.86,3489.52,20.46,0.59,4.04,4717517700,56749606000
"2016-01-05,二",3488.22,3495.3,3462.94,3493.24,3.72,0.11,0.927,1594160700,19521072000
"2016-01-05,二",3493.79,3503.07,3481.45,3502.42,9.18,0.26,0.619,1161690900,13820503000
"2016-01-05,二",3502.73,3514.58,3493.4,3496.5,-5.92,-0.17,0.605,1065374800,12818821000
"2016-01-05,二",3496.47,3499.15,3429.38,3429.38,-67.12,-1.92,2,1577913700,19309948000
"2016-01-05,二",3428.73,3457.72,3425.06,3444.91,15.53,0.45,0.953,1668220300,20647820000
"2016-01-05,二",3445.65,3445.96,3377.32,3436.88,-8.03,-0.23,1.99,2535553900,29848560000
"2016-01-05,二",3436.87,3481.72,3435.8,3478.78,41.9,1.22,1.34,1891266000,23300750000
"2016-01-06,三",3482.41,3504.72,3478.5,3500.46,21.68,0.62,0.754,2688223200,30267482000
"2016-01-06,三",3500.38,3506.03,3488.46,3492.89,-7.57,-0.22,0.502,2430649900,23188790000
"2016-01-06,三",3492.78,3497.43,3468.63,3475.92,-16.98,-0.49,0.825,1627836400,18161247000
"2016-01-06,三",3475.46,3495.8,3475.46,3490.95,15.04,0.43,0.585,808166600,10034746000
"2016-01-06,三",3491.07,3504.92,3479.03,3500.96,10.01,0.29,0.741,1172812300,12781646000
"2016-01-06,三",3500.85,3527.86,3499.84,3520.17,19.21,0.55,0.8,1995018800,22575443000
"2016-01-06,三",3520.94,3543.51,3520.94,3536.56,16.39,0.47,0.641,1858304300,20959646000
"2016-01-06,三",3536.41,3540.11,3524.97,3539.81,3.25,0.09,0.428,2015602500,22978190000
"2016-01-07,四",3481.15,3481.15,3284.74,3284.74,-255.07,-7.21,5.55,4410264100,47130795000
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3294.38,3284.74,3294.38,9.65,0.29,0.294,0,0
"2016-01-08,五",3371.87,3395.36,3238.37,3342.37,47.99,1.46,4.77,7300716300,76981947000
"2016-01-08,五",3341.81,3374.16,3335.18,3365.18,22.81,0.68,1.17,2441039400,25406224000
"2016-01-08,五",3365.06,3365.06,3332.9,3338.24,-26.94,-0.8,0.956,1280775600,13855748000
"2016-01-08,五",3337.74,3384.99,3336.52,3384.99,46.75,1.4,1.45,1321964300,15122592000
"2016-01-08,五",3385.51,3418.63,3382.96,3418.63,33.64,0.99,1.05,1928151400,22366629000
"2016-01-08,五",3418.72,3418.85,3379.96,3383.29,-35.34,-1.03,1.14,1399211000,16044120000
"2016-01-08,五",3383.58,3388.95,3362.08,3382.01,-1.28,-0.04,0.794,1304316000,14839410000
"2016-01-08,五",3382.48,3382.48,3357.71,3361.56,-20.45,-0.6,0.732,1619771000,18882190000
"2016-01-11,一",3303.12,3327.95,3279.36,3327.94,-33.63,-1,1.45,4042554000,39241083000
"2016-01-11,一",3328.24,3342.48,3316.6,3326.25,-1.68,-0.05,0.778,1882673600,18494997000
"2016-01-11,一",3326.39,3335.55,3309.8,3321.01,-5.24,-0.16,0.774,1212515300,13489198000
"2016-01-11,一",3321.09,3321.19,3259.18,3288.8,-32.21,-0.97,1.87,2015172500,22304661000
"2016-01-11,一",3288.85,3288.85,3245.91,3264.86,-23.94,-0.73,1.31,1713749600,19482776000
"2016-01-11,一",3264.84,3295.75,3264.84,3269.13,4.27,0.13,0.947,1301387500,15064776000
"2016-01-11,一",3267.67,3285.3,3230.84,3230.84,-38.29,-1.17,1.67,1790547500,19365679000
"2016-01-11,一",3231.68,3248.04,3192.45,3192.45,-38.39,-1.19,1.72,3505238000,37020880000
"2016-01-12,二",3214.82,3242.21,3184.9,3224.01,31.56,0.99,1.79,3483635100,37183446000
"2016-01-12,二",3223.85,3223.85,3199.64,3204.65,-19.36,-0.6,0.751,1363094000,14940002000
"2016-01-12,二",3204.82,3208.22,3174.55,3202.21,-2.45,-0.08,1.05,1772292900,18929795000
"2016-01-12,二",3202.72,3227.85,3202.72,3225.29,23.08,0.72,0.785,1060043800,12357783000
"2016-01-12,二",3226.14,3234.28,3216.91,3222.85,-2.44,-0.08,0.539,1063007300,12930548000
"2016-01-12,二",3222.23,3240.29,3214.28,3214.97,-7.88,-0.24,0.807,1162117400,13849836000
"2016-01-12,二",3215.15,3234.61,3203.08,3226.48,11.51,0.36,0.981,1410634700,15250539000
"2016-01-12,二",3225.9,3228.43,3205.15,3215.71,-10.77,-0.33,0.722,1507754400,16606951000
"2016-01-13,三",3240.48,3245.11,3222.04,3240.22,24.51,0.76,0.718,2405690600,25590244000
"2016-01-13,三",3240.27,3256.85,3237,3244.83,4.61,0.14,0.613,1971045100,17841675000
"2016-01-13,三",3245.03,3249.73,3236.91,3242.03,-2.8,-0.09,0.395,966902600,10676239000
"2016-01-13,三",3241.78,3241.78,3212.98,3221.15,-20.88,-0.64,0.888,1100194200,12731506000
"2016-01-13,三",3221.08,3222.73,3194.33,3210,-11.16,-0.35,0.882,1143294100,13791736000
