时间,开盘,最高,最低,收盘,涨跌,涨幅%,振幅%,总手(万),金额(亿)
"2015-12-30,三",3762.91,3763.89,3751.72,3759.75,--,-0.06,0.323,1904891300,28784783000
"2015-12-30,三",3762.91,3763.89,3746.32,3755.14,-4.61,-0.12,0.467,3224276200,47163652000
"2015-12-30,三",3755.23,3763.58,3747.84,3751.59,-3.54,-0.09,0.419,1991299300,29782805000
"2015-12-30,三",3751.15,3752.02,3726.35,3748.34,-3.26,-0.09,0.684,2310212500,34364715000
"2015-12-30,三",3748.26,3765.18,3745.58,3765.18,16.84,0.45,0.523,3037207500,44432918000
"2015-12-31,四",3760.9,3772.49,3755.77,3761.87,-3.3,-0.09,0.444,2954851100,42597845000
"2015-12-31,四",3761.86,3766.44,3738.89,3739.1,-22.77,-0.61,0.732,1992614900,29700288000
"2015-12-31,四",3739.04,3755.4,3727.46,3755.37,16.27,0.44,0.747,1921540800,26871928000
"2015-12-31,四",3755.13,3761.42,3730.08,3731,-24.37,-0.65,0.834,3318348800,45873629000
"2016-01-04,一",3725.86,3726.08,3578.01,3606.38,-124.63,-3.34,3.97,6153696800,80686843000
"2016-01-04,一",3605.89,3619.8,3579.04,3581.41,-24.97,-0.69,1.13,2786259400,34698963000
"2016-01-04,一",3581.38,3581.38,3469.01,3470.41,-111,-3.1,3.14,2597111200,30582394000
"2016-01-04,一",3470.41,3470.41,3468.95,3469.07,-1.35,-0.04,0.042,0,0
"2016-01-05,二",3382.18,3518.03,3377.86,3493.24,24.18,0.7,4.04,6311678400,76270678000
"2016-01-05,二",3493.79,3514.58,3481.45,3496.5,3.26,0.09,0.948,2227065700,26639324000
"2016-01-05,二",3496.47,3499.15,3425.06,3444.91,-51.59,-1.48,2.12,3246134000,39957768000
"2016-01-05,二",3445.65,3481.72,3377.32,3478.78,33.87,0.98,3.03,4426819900,53149310000
"2016-01-06,三",3482.41,3506.03,3478.5,3492.89,14.11,0.41,0.791,5118873100,53456272000
"2016-01-06,三",3492.78,3497.43,3468.63,3490.95,-1.94,-0.06,0.825,2436003000,28195993000
"2016-01-06,三",3491.07,3527.86,3479.03,3520.17,29.22,0.84,1.4,3167831100,35357089000
"2016-01-06,三",3520.94,3543.51,3520.94,3539.81,19.64,0.56,0.641,3873906800,43937836000
"2016-01-07,四",3481.15,3481.15,3284.74,3284.74,-255.07,-7.21,5.55,4410264100,47130795000
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3284.74,3284.74,3284.74,0,0,0,0,0
"2016-01-07,四",3284.74,3294.38,3284.74,3294.38,9.65,0.29,0.294,0,0
"2016-01-08,五",3371.87,3395.36,3238.37,3365.18,70.8,2.15,4.77,9741755700,1.02388E+11
"2016-01-08,五",3365.06,3384.99,3332.9,3384.99,19.81,0.59,1.55,2602739900,28978340000
"2016-01-08,五",3385.51,3418.85,3379.96,3383.29,-1.7,-0.05,1.15,3327362400,38410749000
"2016-01-08,五",3383.58,3388.95,3357.71,3361.56,-21.73,-0.64,0.924,2924087000,33721600000
"2016-01-11,一",3303.12,3342.48,3279.36,3326.25,-35.31,-1.05,1.88,5925227600,57736080000
"2016-01-11,一",3326.39,3335.55,3259.18,3288.8,-37.45,-1.13,2.3,3227687800,35793859000
"2016-01-11,一",3288.85,3295.75,3245.91,3269.13,-19.67,-0.6,1.52,3015137100,34547552000
"2016-01-11,一",3267.67,3285.3,3192.45,3192.45,-76.68,-2.35,2.84,5295785500,56386559000
"2016-01-12,二",3214.82,3242.21,3184.9,3204.65,12.2,0.38,1.79,4846729100,52123448000
"2016-01-12,二",3204.82,3227.85,3174.55,3225.29,20.64,0.64,1.66,2832336700,31287578000
"2016-01-12,二",3226.14,3240.29,3214.28,3214.97,-10.32,-0.32,0.807,2225124700,26780384000
"2016-01-12,二",3215.15,3234.61,3203.08,3215.71,0.74,0.02,0.981,2918389100,31857490000
"2016-01-13,三",3240.48,3256.85,3222.04,3244.83,29.12,0.91,1.08,4376735700,43431919000
